item_id,surface,en,type,registry_status,first_lesson,lessons_used_in,in_piecesUsed_lessons,related_item_ids,used_in_L0_L15,risk_notes
chunk-bonjour,Bonjour,Hello,chunk,active,L0,L0 L1 L2 L4 L6 L8 L10,L0 L1 L2 L4 L6 L8 L10,,yes,
chunk-je-voudrais,je voudrais,I would like,chunk,active,L0,L0 L1 L5 L9 L10,L0 L1 L9 L10,,yes,
noun-cafe,café,coffee,noun,active,L0,L0 L1 L5,,,yes,
chunk-sil-vous-plait,s'il vous plaît,please (formal),chunk,active,L0,L0 L1 L9 L11 L12 L13,L0 L1 L9 L11 L13,,yes,
chunk-merci,merci,thank you,chunk,active,L1,L1 L6 L7 L10,L1 L6 L7,,yes,
chunk-je-suis,je suis,I am,chunk,active,L2,L2 L3 L4 L6 L10,L2 L6,verb-etre pronoun-je chunk-j-ai,yes,
chunk-j-ai,j'ai,I have,chunk,active,L4,L4 L5 L6,L4 L6,chunk-je-suis micro-je-suis-vs-j-ai,yes,
pronoun-je,je,I,pronoun,active,,,,,NO (dormant),
pronoun-tu,tu,you (informal singular),pronoun,active,,,,,NO (dormant),
pronoun-vous,vous,you (formal or plural),pronoun,active,,,,,NO (dormant),
verb-etre,être,to be,verb,active,,,,chunk-je-suis chunk-tu-es chunk-vous-etes chunk-c-est grammar-etre-identity,NO (dormant),
chunk-tu-es,tu es,you are (informal),chunk,active,,,,verb-etre pronoun-tu,NO (dormant),
chunk-vous-etes,vous êtes,you are (formal/plural),chunk,active,,,,verb-etre pronoun-vous,NO (dormant),
chunk-c-est,c'est,it is / that is,chunk,supported,L8,L3 L8 L10 L12 L13,L8 L10 L12,verb-etre,yes,
sound-elision,elision (j' / c' / l' / d' / s'),,sound-pattern,recognition,L4,L4,,,yes,
sound-liaison,"liaison (vous_êtes, nous_avons)",,sound-pattern,recognition,,,,,NO (dormant),
micro-je-suis-vs-j-ai,je suis vs j'ai,,micro-contrast,recognition,L4,L4,,chunk-je-suis chunk-j-ai,yes,
grammar-etre-identity,"être = identity, state, location",,grammar-nugget,recognition,,,,verb-etre micro-je-suis-vs-j-ai,NO (dormant),
chunk-je-suis-ici,je suis ici,I am here,chunk,active,L2,L2 L4 L6,,chunk-je-suis,yes,"REVIEW: pre-canon sentence-shaped registry chunk (subject+3 tokens); lesson surfaces atomize it correctly (recap chips are je suis + ici); keep, but do not replicate the pattern for new items"
chunk-tu-es-pret,tu es prêt,you are ready (informal),chunk,supported,,,,chunk-tu-es,NO (dormant),
chunk-vous-etes-pret,vous êtes prêt,you are ready (formal),chunk,supported,,,,chunk-vous-etes,NO (dormant),
noun-idee,idée,idea,noun,supported,,,,,NO (dormant),
noun-question,question,question,noun,supported,L4,L4 L5,,,yes,
chunk-non,non,no,chunk,active,L3,L3,L3,chunk-non-merci chunk-oui,yes,
chunk-oui,oui,yes,chunk,active,L3,L3,,chunk-non,yes,"REVIEW: registry status active, but post-L3 canon treats oui as passive/trap only (never produced; L8/L10/L13/L14 use it as trap text). Candidate for status demotion in a future registry pass"
chunk-je-ne-suis-pas,je ne suis pas,I am not,chunk,active,L3,L3 L6,L3,chunk-je-suis grammar-ne-pas-sandwich,yes,
chunk-ce-n-est-pas,ce n'est pas,it is not / that is not,chunk,active,L3,L3,L3,chunk-c-est grammar-ne-pas-sandwich,yes,
chunk-non-merci,non merci,no thank you,chunk,supported,L3,L3 L6,L3,chunk-non chunk-merci,yes,
