number,lesson,french_chunk,english_meaning,situation_or_use,verdict,preferred_correction,short_note,reviewer_name,review_date
1,Lesson 1,merci,thank you,Closes any exchange.,,,,,
2,Lesson 1,s'il vous plaît,please,Softens any request; always used whole.,,,,,
3,Lesson 1,bonjour,hello,"Opens any exchange, from morning to late afternoon.",,,,,
4,Lesson 1,je voudrais,I would like,The polite way to ask for something.,,,,,
5,Lesson 1,un café,a coffee,"The drink and its little word, learned together.",,,,,
6,Lesson 1,un thé,a tea,The second drink; given to the learner when they produce it.,,,,,
7,Lesson 1,excusez-moi,excuse me,Getting attention — not an apology.,,,,,
8,Lesson 1,je ne comprends pas,I don't understand,Said whole when you lose the thread.,,,,,
9,Lesson 1,vous pouvez répéter ?,can you say that again?,Said whole to ask for a repeat.,,,,,
10,Lesson 1,au revoir,goodbye,Closes the moment as you leave.,,,,,
11,Lesson 1,merci beaucoup,thank you very much,A warmer thanks.,,,,,
12,Lesson 1,madame,madam,"Address form; heard, not required.",,,,,
13,Lesson 1,monsieur,sir,"Address form; heard, not required.",,,,,
14,Lesson 1,un croissant,a croissant,Heard at the counter; produced later.,,,,,
15,Lesson 1,voilà,here you are,Heard as something is handed over.,,,,,
16,Lesson 1,je veux,I want,Shown only as a blunt contrast to je voudrais.,,,,,
17,Lesson 2,je suis,I am,Says who or where you are.,,,,,
18,Lesson 2,ici,here,The place word that answers where.,,,,,
19,Lesson 2,là,here / there,The other place word; just as common.,,,,,
20,Lesson 2,en retard,late,A state; never changes form.,,,,,
21,Lesson 2,fatigué / fatiguée,tired,A state; the ending changes with the speaker.,,,,,
22,Lesson 2,prêt / prête,ready,A state; the ending changes with the speaker.,,,,,
23,Lesson 2,désolé / désolée,sorry,An apology; the ending changes with the speaker.,,,,,
24,Lesson 2,vous êtes,you are,The same shape pointed at the other person; heard only.,,,,,
25,Lesson 2,ce n'est pas grave,it's fine / no harm done,The reassurance you get after apologising.,,,,,
26,Lesson 2,entrez,come in,Heard at a door.,,,,,
27,Lesson 2,par ici,this way,Heard when someone shows you where to go.,,,,,
28,Lesson 2,asseyez-vous,have a seat,Heard as you are shown in.,,,,,
29,Lesson 2,une seconde,one second,Heard while someone finishes something.,,,,,
30,Lesson 2,bonjour,hello,Still opening every arrival.,,,,,
31,Lesson 2,à l'heure,on time,The opposite of en retard; never changes form.,,,,,
32,Lesson 2,excusez-moi,excuse me,Now used before placing yourself.,,,,,
33,Lesson 3,non,no,The fastest refusal.,,,,,
34,Lesson 3,oui,yes,Its opposite.,,,,,
35,Lesson 3,je ne suis pas,I am not,Said whole; the two halves never separate.,,,,,
36,Lesson 3,ce n'est pas,it is not,Said whole; the two halves never separate.,,,,,
37,Lesson 3,non merci,no thanks,"A soft, complete refusal.",,,,,
38,Lesson 3,je ne comprends pas,I don't understand,Now built from the wrap this lesson teaches.,,,,,
39,Lesson 3,je ne veux pas,I don't want to,"A plain refusal; shown, not required.",,,,,
40,Lesson 3,je veux pas,I don't want to (spoken),How it is usually said out loud; contrast only.,,,,,
41,Lesson 3,pas de problème,no problem,The usual reply to a refusal.,,,,,
42,Lesson 3,d'accord,all right,Heard when someone accepts your answer.,,,,,
43,Lesson 3,ça va,it's fine / I'm fine,Heard constantly long before it is used.,,,,,
44,Lesson 3,vous voulez,would you like,Opens the offer you will refuse; heard only.,,,,,
45,Lesson 3,merci,thank you,Now softening a refusal.,,,,,
46,Lesson 3,ici,here,Still the place being denied.,,,,,
47,Lesson 4,j'ai,I have,Says what you feel or have.,,,,,
48,Lesson 4,faim,hunger,"Used bare, with no little word.",,,,,
49,Lesson 4,soif,thirst,"Used bare, exactly like faim.",,,,,
50,Lesson 4,une question,a question,A thing you can have.,,,,,
51,Lesson 4,une idée,an idea,Another thing you can have.,,,,,
52,Lesson 4,je n'ai pas,I don't have / I'm not,"The wrap on the new shape; shown, not required.",,,,,
