number,lesson,situation,exact_french,english_meaning,treatment,verdict,preferred_correction,acceptable_alternatives,register_or_naturalness_note,short_reason,reviewer_name,review_date
1,Lesson 1,You walk in and open the exchange.,Bonjour.,Hello.,PRODUCE,,,,,,,
2,Lesson 1,You have already greeted; now you order.,Je voudrais un café.,I would like a coffee.,PRODUCE,,,,,,,
3,Lesson 1,Greeting and order in one turn.,"Bonjour, je voudrais un café.","Hello, I would like a coffee.",PRODUCE,,,,,,,
4,Lesson 1,The full polite order — the central L1 sentence.,"Bonjour, je voudrais un café, s'il vous plaît.","Hello, I would like a coffee, please.",PRODUCE,,,,,,,
5,Lesson 1,Ordering when you have already said hello.,"Je voudrais un café, s'il vous plaît.","I would like a coffee, please.",PRODUCE,,,,,,,
6,Lesson 1,The short order a regular gives at a busy counter.,"Un café, s'il vous plaît.","A coffee, please.",PRODUCE,,,,,,,
7,Lesson 1,"Same order, different drink; the words for the tea are in front of you.","Je voudrais un thé, s'il vous plaît.","I would like a tea, please.",SUPPORTED,,,,,,,
8,Lesson 1,The short tea order; the words are in front of you.,"Un thé, s'il vous plaît.","A tea, please.",SUPPORTED,,,,,,,
9,Lesson 1,The drink arrives and you thank them.,Merci.,Thank you.,PRODUCE,,,,,,,
10,Lesson 1,You close the exchange and leave.,Au revoir.,Goodbye.,PRODUCE,,,,,,,
11,Lesson 1,Thanks and goodbye as one exit.,"Merci, au revoir.","Thank you, goodbye.",PRODUCE,,,,,,,
12,Lesson 1,"The formula shown and heard on its own, never demanded alone.",S'il vous plaît.,Please.,READ/LISTEN,,,,,,,
13,Lesson 1,You lost the thread; the formula is in front of you.,Je ne comprends pas.,I don't understand.,SUPPORTED,,,,,,,
14,Lesson 1,Asking for a repeat; the formula is in front of you.,Vous pouvez répéter ?,Can you say that again?,SUPPORTED,,,,,,,
15,Lesson 1,The whole recovery move in one turn.,Je ne comprends pas. Vous pouvez répéter ?,I don't understand. Can you say that again?,SUPPORTED,,,,,,,
16,Lesson 1,Interrupting politely to say you are lost.,"Excusez-moi, je ne comprends pas.","Excuse me, I don't understand.",SUPPORTED,,,,,,,
17,Lesson 1,Getting someone's attention — not an apology.,Excusez-moi.,Excuse me.,SUPPORTED,,,,,,,
18,Lesson 1,"Shown as a contrast: real French, but blunt with a stranger.",Je veux un café.,I want a coffee.,CONTRAST,,,,,,,
19,Lesson 1,The server greets you; you only hear it.,"Bonjour, monsieur.","Hello, sir.",INTERLOCUTOR,,,,,,,
20,Lesson 1,The server greets you; you only hear it.,"Bonjour, madame.","Hello, madam.",INTERLOCUTOR,,,,,,,
21,Lesson 1,"The server offers, with a rising tone.","Un café, madame ?","A coffee, madam?",INTERLOCUTOR,,,,,,,
22,Lesson 1,"The server repeats your order back, flat.",Un café.,One coffee.,INTERLOCUTOR,,,,,,,
23,Lesson 1,The server offers something extra; heard only.,Un croissant ?,A croissant?,INTERLOCUTOR,,,,,,,
