risk_id,subject,where,severity,notes
R1,chunk-je-suis-ici / chunk-j-ai-faim / chunk-j-ai-une-question,registry,REVIEW,Pre-chip-canon sentence/clause-shaped registry chunks from L0-L6. Lesson surfaces already atomize them (recap chips are atoms; lint pins j'ai une question as forbidden). Keep as legacy pattern-instances; do NOT replicate the pattern; consider a status/annotation pass later.
R2,chunk-oui status=active,registry,REVIEW,"Post-L3 canon treats oui as passive/trap only and no lesson ever produces it, but registry still says active. Candidate for demotion to recognition/passive in a dedicated registry pass (no edit in this audit)."
R3,ici / faim unregistered chip surfaces,L2/L4/L6/L8/L12,REVIEW,"ici and faim are produced chips with NO registry item (suggestedPieces itemId null), so mastery events cannot attach to an item. A future registry pass should add word-ici / noun-faim deliberately. NOT in this class: une pause resolves to noun-pause (article-wrapped chip, L5 package convention) and ne ___ pas is the frame skeleton of grammar-ne-pas-sandwich."
R4,dormant registry items,registry,REVIEW,"Items present but unused by any v1 lesson surface (see item_registry_usage.csv 'NO (dormant)' rows: tu/vous family, noun-idee, sound-liaison, etc.). Harmless, but they predate the factory loop; keep or annotate in a registry pass."
R5,on y va generalization pressure,L14,WATCH,"Approved as frozen formula only. Any future 'on + y + verb' or 'on va + inf' item must be a new deliberate doorway, not an extension of this chunk."
R6,j'y vais chip pressure,L14,WATCH,"Active chunk whose sentence form is excluded from chips by lint. If smoke shows learners need it as a tappable chip, that requires a canon decision (PROTECTED_CHUNKS stays frozen)."
R7,negative composition debt,L11/L13/L14,WATCH,"je ne peux pas (composed), je n'y vais pas (deferred), je ne vais pas (never shown) all wait on the ne ___ pas frame. Each new engine re-raises the clause-chip question; the forbidden calibration list is the guard."
R8,m'aider object-pronoun seed,L10-L13,WATCH,"Deliberate future doorway (t'aider/l'aider, me/te/lui donner). Until opened, m' must stay frozen (Il faut m'aider correctly avoided in L15)."
R9,infinitive support family growth,L11/L15,WATCH,"verb-aider + verb-aller now form a modal-infinitive set. Keep it a closed, per-lesson-approved set; do not bulk-add infinitives."
R10,est-ce que intonation policy split,L12 vs L13,OK-DOCUMENTED,L12 wrapper screens: wrapper only. L13: wrapper-required weaves wrapper-only; intonation lives in sayit comparison copy. Consistent after PR #169 fixes; keep this line for L16+.
R11,L13 fill reuses full wrapped-question frame,L13 s03,OK,Est-ce que c'est ___ ? tests yes/no vs where from the answer side; distinct from L12 s03 (wrapper side). No re-teach.
R12,sentence-level fill options,L4/L6,REVIEW-LOW,Full-sentence options are recognition choice surfaces (allowed) but are a legacy style; prefer atom/frame options in new lessons unless the discrimination itself is sentence-level.
