qa_row_id,group,lesson,screen_id,screen_archetype,french,english_presented,english_kind,scene_context,source_text,communicative_purpose,usage_role,expected_action,item_chunk_ids,sentence_id,payload_id,protected_chunk_boundaries,accepted_alternatives,french_qa_state,duplicate_reuse_locations,founder_verdict,human_qa_verdict,reviewer_correction,register_note,natural_spoken_french_note,reviewer_rationale,reviewer_name,review_date
QA-L01-001,F,L1,s00-goal-survival-kit,insight-card,merci,thank you,gloss,Insight card: Your survival kit,"Today: add the polite close, thank, and swap the drink. By the end: you can carry a whole small exchange in French. Main pieces: s'il vous plaît, merci.",French named inside explanatory copy,recognition,read,chunk-merci,sent:l01-merci,,,,founder_waived_provisional,"also: L1/s01-insight-survival-kit, L1/s07-meet-merci, L1/s07-meet-merci, L1/s10-weave-merci-thanks, L1/s10-weave-merci-thanks, L1/s10-weave-merci-thanks, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L3/s05-fill-refuse-politely, L6/s00-goal-petit-moment, L6/s04-fill-decline-offer, L6/s04-fill-decline-offer, L6/s08-weave-close-open, L6/s10-recap-a-small-moment, L7/s06-sayit-take-your-leave, L7/s07-recap-heading-home, L9/s08-fill-softener, L10/s07-sayit-take-your-leave",,,,,,,,
QA-L01-002,F,L1,s00-goal-survival-kit,insight-card,s'il vous plaît,please (formal),gloss,Insight card: Your survival kit,"Today: add the polite close, thank, and swap the drink. By the end: you can carry a whole small exchange in French. Main pieces: s'il vous plaît, merci.",French named inside explanatory copy,recognition,read,chunk-sil-vous-plait,,,,,(none on item),"also: L1/s05-meet-sil-vous-plait, L1/s05-meet-sil-vous-plait, L1/s06-weave-cafe-order-please, L1/s11-weave-the-order, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L9/s08-fill-softener, L9/s05-weave-break-politely, L9/s10-insight-what-you-can-ask, L9/s06-sayit-long-afternoon, L9/s07-recap-pause, L10/s10-reveal-midday-break",,,,,,,,
QA-L01-003,B,L1,s03-fill-polite-verb,fill-with-traps,"Bonjour, je voudrais un café.",(no English gloss presented),none,Which word keeps the request polite?,,Natural full sentence shown after the choice,model-only,read,chunk-je-voudrais chunk-bonjour chunk-un-cafe,,,,,(none on item),also: L1/s04-weave-cafe-order,,,,,,,,
QA-L01-004,C,L1,s03-fill-polite-verb,fill-with-traps,"Bonjour, je ___ un café.",(no English gloss presented),none,Which word keeps the request polite?,,The French frame the blank sits in,recognition,read,chunk-je-voudrais,,,,,(none on item),unique to this screen,,,,,,,,
QA-L01-005,C,L1,s03-fill-polite-verb,fill-with-traps,suis,(no English gloss presented),none,Which word keeps the request polite?,,Distractor — shown reason: Je suis means I am. It cannot ask for a coffee.,recognition,choose,chunk-je-voudrais,,,,,(none on item),"also: L2/s03-fill-je-suis-blank, L3/s02-fill-verb-in-sandwich, L7/s03-fill-je-vais-blank, L9/s03-fill-faire-blank, L10/s03-fill-engine-chooser",,,,,,,,
QA-L01-006,C,L1,s03-fill-polite-verb,fill-with-traps,veux,(no English gloss presented),none,Which word keeps the request polite?,,"Distractor — shown reason: It works, but it sounds blunt with someone you don't know. Je voudrais stays polite.",recognition,choose,chunk-je-voudrais,,,errorTag: wrong_register,,(none on item),unique to this screen,,,,,,,,
QA-L01-007,C,L1,s03-fill-polite-verb,fill-with-traps,voudrais,(no English gloss presented),none,Which word keeps the request polite?,,The option that completes the frame,recognition,choose,chunk-je-voudrais,,,,,(none on item),"also: L2/s03-fill-je-suis-blank, L3/s02-fill-verb-in-sandwich, L7/s03-fill-je-vais-blank, L10/s03-fill-engine-chooser",,,,,,,,
QA-L01-008,F,L1,s03-fill-polite-verb,fill-with-traps,je suis,I am,gloss,Which word keeps the request polite?,Je suis means I am. It cannot ask for a coffee.,French named inside feedback copy,recognition,read,chunk-je-suis,,,,,(none on item),"also: L2/s00-goal-etre, L2/s00-meet-je-suis-ici, L2/s01-insight-je-suis-engine, L2/s02-meet-bonjour-je-suis-ici, L2/s03-fill-je-suis-blank, L2/s04-weave-je-suis-ici, L2/s05-weave-call-and-respond, L2/s07-sayit-arrive-locate, L2/s08-recap-first-engine, L3/s01-insight-ne-pas-sandwich, L3/s10-recap-negation, L4/s00-goal-jai, L4/s01-insight-have-for-feelings, L4/s02-fill-have-not-be, L4/s02-fill-have-not-be, L6/s00-goal-petit-moment, L6/s03-weave-bonjour-je-suis-ici, L6/s07-sayit-step-in, L6/s10-recap-a-small-moment, L7/s02-insight-je-vais-frozen, L7/s03-fill-je-vais-blank, L10/s03-fill-engine-chooser, L10/s01-insight-three-engines",,,,,,,,
QA-L01-009,F,L1,s03-fill-polite-verb,fill-with-traps,je voudrais,I would like,gloss,Which word keeps the request polite?,"Je voudrais softens any request. It is the polite way to ask a stranger for a coffee, or for anything else. ⏐ It works, but it sounds blunt with someone you don't know. Je voudrais stays polite.",French named inside feedback copy,recognition,read,chunk-je-voudrais,,,,,(none on item),"fields: payload.reveal.explanation (inline) ; payload.options[opt-veux].trapReason (inline) || also: L1/s04-weave-cafe-order, L1/s06-weave-cafe-order-please, L1/s11-weave-the-order, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L2/s03-fill-je-suis-blank, L3/s02-fill-verb-in-sandwich, L4/s02-fill-have-not-be, L4/s02-fill-have-not-be, L5/s05-weave-je-voudrais-un-cafe, L5/s07-sayit-ask-for-a-coffee, L5/s08-recap-packages, L7/s03-fill-je-vais-blank, L9/s00-goal-pause, L9/s01-meet-faire-une-pause, L9/s03-fill-faire-blank, L9/s02-insight-voudrais-carries-actions, L9/s04-weave-ask-for-a-break, L9/s05-weave-break-politely, L9/s10-insight-what-you-can-ask, L9/s06-sayit-long-afternoon, L9/s07-recap-pause, L10/s03-fill-engine-chooser, L10/s01-insight-three-engines, L10/s04-weave-midday-break, L10/s08-recap-full-day",,,,,,,,
QA-L01-010,A,L1,s04-weave-cafe-order,weave,"Bonjour, je voudrais un café.","Hello, I would like a coffee.",instruction,You step up to the counter and order simply.,,Typed production — supported weave,active-new,type,chunk-bonjour chunk-je-voudrais noun-cafe,,,,,(none on item),also: L1/s03-fill-polite-verb,,,,,,,,
