candidate_id,lesson,communicative_moment,preferred_french,english_meaning,natural_alternatives,scene,register,learner_role,production_status,expected_action,active_new_chunks,recycled_chunks,protected_package,first_contact_lesson,first_production_lesson,reuse_lessons,current_surface_status,current_surface_reference,rationale,founder_verdict,founder_note,human_qa_verdict,reviewer_correction,reviewer_natural_alternatives,reviewer_register_note,reviewer_rationale,reviewer_name,review_date
C-L01-01,L1,Order a coffee at the counter,"Bonjour, je voudrais un café.","Hello, I would like a coffee.",,You step up to the counter and order simply.,vous / stranger-facing,core-production,produced (typed),type,,chunk-bonjour chunk-je-voudrais noun-cafe,un café is one package; je voudrais is one frame,L1,L1,L5 L9,KEEP,L1: L1/s04-weave-cafe-order,"The founding polite request. Recycled from L0 straight into production; the frame carries every later ask. No natural alternative is offered: dropping je voudrais without adding s'il vous plaît lands brusque, and that variant belongs to C-L01-02.",,,,,,,,,
C-L01-02,L1,Soften the order with please,"Bonjour, je voudrais un café, s'il vous plaît.","Hello, I would like a coffee, please.","Bonjour, un café, s'il vous plaît. | Je voudrais un café, s'il vous plaît.",Add the soft close to your order.,vous / stranger-facing,core-production,produced (typed),type,chunk-sil-vous-plait,chunk-bonjour chunk-je-voudrais noun-cafe,s'il vous plaît is one frozen formula; never split,L1,L1,L5 L9 L10,KEEP,L1: L1/s06-weave-cafe-order-please,"Politeness is the lesson's real content. The current natural alternative 'Bonjour, un café s'il vous plaît.' is missing its comma; folded in here as a properly punctuated alternative.",,,,,,,,,
C-L01-03,L1,Thank someone when the drink arrives,Merci.,Thank you.,Merci ! | Merci beaucoup.,The server sets it down and waits a moment.,vous / neutral,core-production,produced (typed),type,chunk-merci,,single chip,L1,L1,L3 L6 L7 L9 L10,KEEP,L1: L1/s10-weave-merci-thanks (registered sent:l01-merci),Registered pilot sentence; the one unscaffolded first production in L1. 'Merci beaucoup.' added as a natural alternative the learner will hear constantly.,,,,,,,,,
C-L01-04,L1,"Order a different drink, with the package supplied","Je voudrais un thé, s'il vous plaît.","I would like a tea, please.","Un thé, s'il vous plaît.",The server looks over. This time it's a tea.,vous / stranger-facing,core-production,produced (typed),type,,chunk-je-voudrais chunk-sil-vous-plait,"un thé is CONSTITUTIVE support — visible from first render, never split into un + thé",L1,L1,L5,KEEP,L1: L1/s11-weave-the-order (registered sent:l01-je-voudrais-un-the-sil-vous-plait),Registered Supported sentence. Proves the frame carries a second drink; the tea package stays supported so no independent claim is manufactured.,,,,,,,,,
C-L01-05,L1,Get someone's attention before ordering,"Excusez-moi, je voudrais un café, s'il vous plaît.","Excuse me, I would like a coffee, please.","Excusez-moi. Je voudrais un café, s'il vous plaît.","The person behind the counter is turned away, busy with the machine.",vous / stranger-facing,core-production,produced (typed),type,,chunk-je-voudrais noun-cafe chunk-sil-vous-plait,excusez-moi is one frozen formula (supported),L1,L1,L4 L6 L8 L9 L10,ADD,L1: no current surface,"The missing first move. Every real counter exchange starts by getting attention, and the lesson currently assumes the server is already looking at you. Uses the DORMANT registered item chunk-excusez-moi (no new registry entry). Payload Economy v0 §6 names excusez-moi as L1 supported cargo.",,,,,,,,,
C-L01-06,L1,The short café order,"Un café, s'il vous plaît.","A coffee, please.","Un thé, s'il vous plaît.",Reveal beside the fuller order: how a regular actually says it.,vous / stranger-facing,model,model only,read,,noun-cafe chunk-sil-vous-plait chunk-un-cafe,un café package + s'il vous plaît formula,L1,never produced,L5,REVISE/KEEP,"L1: L1/s08-sayit-cafe-order natAlt 'Bonjour, un café s'il vous plaît. Merci !' || L5: L5/s07-sayit-ask-for-a-coffee natAlt",Currently only exists inside a longer alternative and is missing the comma before s'il vous plaît. Stands better on its own as the casual register model.,,,,,,,,,
C-L01-07,L1,Greet a shopkeeper by title,Bonjour madame.,Hello (to a woman).,Bonjour monsieur.,"Culture note: in a French shop, bonjour rarely travels alone.",vous / stranger-facing,ghost,ghost / exposure only,read,,chunk-bonjour,n/a — exposure only,L1,never produced,none,ADD,L1: no current surface,"Payload Economy v0 §6 lists madame / monsieur as L1 ghosts. Entering a French shop without one reads as brusque; the learner should recognise it long before producing it. Ghost only: never a required answer, never in piecesUsed.",,,,,,,,,
C-L01-10,L1,The blunt version of the same request,Je veux un café.,I want a coffee.,,"Trap option: it works, but it lands blunt with a stranger.",vous / stranger-facing,contrast,recognition only,choose,,noun-cafe,n/a — never a chip (Payload Economy v0 §6 do-not-chip),L1,never produced,none,KEEP,L1: L1/s03-fill-polite-verb option opt-veux,"Register taught as register, not error. Correctly tagged wrong_register, never wrong grammar. Must never become a chip or an accepted answer.",,,,,,,,,
C-L01-11,L1,"The whole café exchange, opened and closed","Bonjour, je voudrais un café, s'il vous plaît. Merci !","Hello, I would like a coffee, please. Thank you!","Bonjour, un café, s'il vous plaît. Merci !","The counter is quiet, and the person behind it turns to you.",vous / stranger-facing,core-production,produced (open task),free-produce,,chunk-bonjour chunk-je-voudrais noun-cafe chunk-sil-vous-plait chunk-merci,"the lesson's whole target performance: greet, ask, soften, thank",L1,L1,none,KEEP,L1: L1/s08-sayit-cafe-order,"L1's target performance and the only place the five survival pieces run together. Keep, including its shorter casual alternative.",,,,,,,,,
C-L02-01,L2,Say where you are,Je suis ici.,I am here.,,Someone called your name. Let them know you've arrived.,vous / neutral,core-production,produced (typed),type,chunk-je-suis,chunk-je-suis chunk-je-voudrais chunk-je-vais,je suis is one frame; ici is an atomic place word,L2,L2,L3 L4 L6 L8 L10,KEEP,L2: L2/s04-weave-je-suis-ici || L10: L10/s01-insight-three-engines examples,The first engine. Keep exactly as is.,,,,,,,,,
C-L02-02,L2,"Greet, then place yourself","Bonjour, je suis ici.","Hello, I am here.",Bonjour. Je suis ici.,You step into a small room. People look up.,vous / neutral,core-production,produced (typed),type,,chunk-bonjour chunk-je-suis,two owned frames joined,L2,L2,L6,REVISE,L2: L2/s02-meet-bonjour-je-suis-ici + L2/s07-sayit model; currently PRODUCED in L6/s03 || L6: L6/s03-weave-bonjour-je-suis-ici (currently PRODUCED here),"Currently only met and modelled in L2, then typed for the first time in L6 — four lessons after the learner could write it. Move first production to L2 and let L6 recycle it in a model. This also removes the L2/L6 duplicate flagged as C2 in the QA pack.",,,,,,,,,
C-L02-03,L2,Say you are running late,Je suis en retard.,I'm late.,,You arrive after the others have started.,vous / neutral,core-production,produced (typed),type,,chunk-je-suis chunk-en-retard,en retard is one package; INVARIABLE — no gender agreement,L2,L2,L6 L10,ADD,L2: no current surface,"L2 currently produces ONE sentence, twice. The engine needs a second job or it reads as a memorised phrase, not a shape. en retard is high-frequency, arrives with no new grammar, and — unlike fatigué(e) — carries NO gender agreement, so it is safe in an app that does not know the learner's gender. Needs one new registry entry (planned, not created).",,,,,,,,,
C-L02-04,L2,"Get attention, then explain yourself","Excusez-moi, je suis en retard.","Excuse me, I'm late.",,You slip into a room where something has already started.,vous / stranger-facing,core-production,produced (open task),free-produce,,chunk-excusez-moi chunk-je-suis chunk-en-retard,excusez-moi formula + je suis frame,L2,L2,L6 L10,ADD,L2: no current surface,First recombination of two lessons' material into one social move. Gives L2's open task something to do beyond repeating je suis ici.,,,,,,,,,
C-L02-05,L2,"The same shape, a different state",Je suis fatigué.,I'm tired.,Je suis fatiguée. (feminine form),"Insight example: the engine names states, not only places.",vous / neutral,recognition,recognition only,read,,chunk-je-suis chunk-fatigue,"fatigué / fatiguée — GENDER AGREEMENT, see founder decision D-04",L2,never produced,L10,ADD,L2: no current surface,"Named by Payload Economy v0 §6 (L2 supported) and by the L10 syllabus spec's can-do ('say I'm tired'). Proposed as RECOGNITION here rather than production, because the app has no learner gender and would have to pick one form for the learner to type. Founder decision D-04 required.",,,,,,,,,
C-L02-06,L2,Ready or not,Je suis prêt.,I'm ready.,Je suis prête. (feminine form),Insight example beside je suis ici.,vous / neutral,recognition,recognition only,read,,chunk-je-suis chunk-tu-es-pret,prêt / prête — gender agreement; recognition only,L2,never produced,none,KEEP,L2: L2/s06-insight-shape-noticed example,"Already on screen as an insight example. Keep as recognition; the same gender caveat as fatigué applies, which is exactly why neither is a production target.",,,,,,,,,
C-L02-07,L2,Here versus there,Je suis là.,I'm here / I'm there.,,Ghost beside ici: French answers the door with là as often as ici.,vous / neutral,ghost,ghost / exposure only,read,,chunk-je-suis,n/a — exposure only,L2,never produced,L8,ADD,L2: no current surface,"Payload Economy v0 §6 lists là as the L2 ghost. ici carries L2, L3, L6 and L8 almost alone; hearing là once stops ici from being memorised as 'the French word for here'.",,,,,,,,,
