lesson,lesson_id,item_id,surface,type,registry_status,role_in_lesson,in_piecesUsed
L0,v1-lesson-000,chunk-bonjour,Bonjour,chunk,active,active-new,yes
L0,v1-lesson-000,chunk-je-voudrais,je voudrais,chunk,active,active-new,yes
L0,v1-lesson-000,noun-cafe,café,noun,active,active-new,no
L0,v1-lesson-000,chunk-sil-vous-plait,s'il vous plaît,chunk,active,active-new,yes
L1,v1-lesson-001,chunk-bonjour,Bonjour,chunk,active,carryover,yes
L1,v1-lesson-001,chunk-merci,merci,chunk,active,active-new,yes
L1,v1-lesson-001,chunk-sil-vous-plait,s'il vous plaît,chunk,active,carryover,yes
L1,v1-lesson-001,chunk-je-voudrais,je voudrais,chunk,active,carryover,yes
L1,v1-lesson-001,noun-cafe,café,noun,active,carryover,no
L2,v1-lesson-002,chunk-je-suis,je suis,chunk,active,active-new,yes
L2,v1-lesson-002,chunk-je-suis-ici,je suis ici,chunk,active,active-new,no
L2,v1-lesson-002,chunk-bonjour,Bonjour,chunk,active,carryover,yes
L3,v1-lesson-003,chunk-non,non,chunk,active,active-new,yes
L3,v1-lesson-003,chunk-oui,oui,chunk,active,active-new,no
L3,v1-lesson-003,chunk-je-ne-suis-pas,je ne suis pas,chunk,active,active-new,yes
L3,v1-lesson-003,chunk-ce-n-est-pas,ce n'est pas,chunk,active,active-new,yes
L3,v1-lesson-003,chunk-non-merci,non merci,chunk,supported,supported-new,yes
L3,v1-lesson-003,grammar-ne-pas-sandwich,ne ... pas wraps the action,grammar-nugget,recognition,exposure,no
L4,v1-lesson-004,chunk-j-ai,j'ai,chunk,active,active-new,yes
L4,v1-lesson-004,chunk-j-ai-faim,j'ai faim,chunk,active,active-new,no
L4,v1-lesson-004,chunk-j-ai-une-question,j'ai une question,chunk,active,active-new,no
L4,v1-lesson-004,micro-je-suis-vs-j-ai,je suis vs j'ai,micro-contrast,recognition,exposure,no
L4,v1-lesson-004,sound-elision,elision (j' / c' / l' / d' / s'),sound-pattern,recognition,exposure,no
L4,v1-lesson-004,noun-question,question,noun,supported,supported-new,no
L5,v1-lesson-005,chunk-un-cafe,un café,chunk,active,active-new,yes
L5,v1-lesson-005,chunk-une-question,une question,chunk,active,active-new,yes
L5,v1-lesson-005,grammar-un-une-package,un and une are little packages,grammar-nugget,recognition,exposure,no
L5,v1-lesson-005,noun-cafe,café,noun,active,carryover,no
L5,v1-lesson-005,noun-question,question,noun,supported,carryover,no
L5,v1-lesson-005,chunk-je-voudrais,je voudrais,chunk,active,carryover,no
L5,v1-lesson-005,chunk-j-ai,j'ai,chunk,active,carryover,no
L6,v1-lesson-006,chunk-au-revoir,au revoir,chunk,active,active-new,yes
L6,v1-lesson-006,chunk-bonjour,Bonjour,chunk,active,carryover,yes
L6,v1-lesson-006,chunk-je-suis-ici,je suis ici,chunk,active,carryover,no
